WT1	WT2	WT3	LSD1ko1	LSD1ko2	LSD1ko3
Carf	8	15	4	37	23	48
Wdr12	179	302	151	728	867	764
Cyp20a1	111	170	102	270	483	433
Cd28	0	8	1	34	18	32
Ctla4	6	8	3	63	25	41
Icos	0	4	4	6	3	37
Ino80d	195	282	93	975	550	846
Ino80dos	1	6	1	34	11	17
Snora41	2	2	0	8	2	5
Eef1b2	4483	8435	5189	12901	20050	13532
Fastkd2	93	283	93	414	545	414
4933402D24Rik	0	0	0	1	0	1
Creb1	235	716	215	1201	1165	1364
Mettl21a	23	33	11	123	101	140
Ccnyl1	13	11	5	56	43	38
Fzd5	32	38	14	74	58	58
2810408I11Rik	21	47	14	83	83	84
D630023F18Rik	0	1	0	0	0	0
Idh1	65	170	74	189	381	501
Kansl1l	20	83	30	114	155	175
Lancl1	88	109	82	248	265	251
Fn1	14	31	15	159	9	49
Mreg	70	39	39	251	218	269
Pecr	15	22	10	67	56	63
Rpl37a	2398	4321	3080	6516	10660	6421
Igfbp5	0	0	0	0	0	2
Rufy4	0	1	2	7	0	4
Cxcr2	1	0	0	1	2	19
Tmbim1	69	66	66	134	180	220
Arpc2	3158	5707	2658	11315	14645	12695
Aamp	599	539	513	1270	1636	1374
Vil1	0	0	0	0	1	0
Slc11a1	28	199	229	47	103	983
Ctdsp1	849	667	600	1548	2046	1997
Mir26b	0	0	0	0	2	3
Catip	1	1	2	0	6	3
Plcd4	2	2	1	13	3	11
Cnot9	561	599	387	1736	1601	1811
Rnf25	122	194	141	329	405	339
Ttll4	131	134	75	486	498	555
Stk36	0	0	2	0	0	0
Bcs1l	73	87	72	196	186	176
Wnt10a	35	16	8	50	18	35
Prkag3	0	0	0	0	1	2
Wnt6	0	1	0	3	5	1
Cyp27a1	44	77	48	111	330	293
Stk16	220	224	162	621	609	470
Tuba4a	387	355	279	1225	1062	984
Atg9a	89	61	56	269	198	250
Ankzf1	40	68	46	238	153	202
Zfand2b	130	170	189	280	571	324
Cnppd1	447	438	354	1003	1340	1286
Fam134a	404	382	354	1009	932	1139
Slc23a3	1	3	0	10	4	7
Glb1l	12	17	5	70	33	65
Abcb6	41	47	31	131	90	95
Dnajb2	35	10	23	62	64	73
Dnpep	204	256	221	678	683	610
Gmppa	214	241	216	677	783	679
Chpf	227	177	196	549	543	575
Tmem198	17	17	11	58	44	36
